id	name	description	characterType	thumbnail
c9cca8c4-b96c-11e4-a802-0aaa78deedf9	Pick Up Item	Right Item Pick Up Into Pack When Running	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/123350901/static.png
c9ce6f23-b96c-11e4-a802-0aaa78deedf9	Picking At Shirt	Laying Picking At Shirt	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128510901/static.png
c9c6d7aa-b96c-11e4-a802-0aaa78deedf9	Picking Up	Picking Up An Object	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/107920902/static.png
c9c6c5eb-b96c-11e4-a802-0aaa78deedf9	Picking Up Object	Picking Up An Object With One Hand	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/104460901/static.png
c9ce855b-b96c-11e4-a802-0aaa78deedf9	Pike Walk	Pike Walk	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128640906/static.png
c9c8bb8a-b96c-11e4-a802-0aaa78deedf9	Pilot Flips Switches	Pilot Flips High Switches In A Helicopter	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/136830901/static.png
c9c8c81f-b96c-11e4-a802-0aaa78deedf9	Pilot Flips Switches	Pilot Flips Low Switches In A Helicopter	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/136840901/static.png
c9c8cf82-b96c-11e4-a802-0aaa78deedf9	Piloting	Pilot Flies Helicopter	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/136850901/static.png
c9cad647-b96c-11e4-a802-0aaa78deedf9	Pistol	Pistol Workout	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120060901/static.png
c9c8b958-b96c-11e4-a802-0aaa78deedf9	Pistol Aim	Pistol Aim To Holster Idle	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/136330901/static.png
c9c6be88-b96c-11e4-a802-0aaa78deedf9	Pistol Idle	Idle Holding Pistol, Kicking Out And Shaking Legs	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/104310901/static.png
c9cdb599-b96c-11e4-a802-0aaa78deedf9	Pistol Idle	Idle With Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128210901/static.png
c9c6b74c-b96c-11e4-a802-0aaa78deedf9	Pistol Idle	Ready Alert Two Hand Pistol Grip	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/104200901/static.png
c9cdb822-b96c-11e4-a802-0aaa78deedf9	Pistol Jump	Running Jump With A Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128240901/static.png
c9cdb661-b96c-11e4-a802-0aaa78deedf9	Pistol Jump	Standing Jump With Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128220901/static.png
c9cdc2f1-b96c-11e4-a802-0aaa78deedf9	Pistol Kneel To Stand	Pistol Kneeling To Standing	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128380901/static.png
c9cdc22d-b96c-11e4-a802-0aaa78deedf9	Pistol Kneeling Idle	Kneeling Idle With Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128370901/static.png
c9cdb75a-b96c-11e4-a802-0aaa78deedf9	Pistol Run	Running With A Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128230901/static.png
c9c9b1f3-b96c-11e4-a802-0aaa78deedf9	Pistol Run	Running With Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/114260903/static.png
c9cdbf21-b96c-11e4-a802-0aaa78deedf9	Pistol Run Arc	Run Arc Left With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128330901/static.png
c9cdbe5f-b96c-11e4-a802-0aaa78deedf9	Pistol Run Arc	Run Arc Right With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128320901/static.png
c9cdb9ae-b96c-11e4-a802-0aaa78deedf9	Pistol Run Backward	Running Backward With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128260901/static.png
c9cdbfdd-b96c-11e4-a802-0aaa78deedf9	Pistol Run Backward Arc	Run Backward Arc Left With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128340901/static.png
c9cdc0a4-b96c-11e4-a802-0aaa78deedf9	Pistol Run Backward Arc	Run Backward Arc Right With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128350901/static.png
c9cdc166-b96c-11e4-a802-0aaa78deedf9	Pistol Stand To Kneel	Pistol Standing To Kneeling	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128360901/static.png
c9cad704-b96c-11e4-a802-0aaa78deedf9	Pistol Start	Start Pistol Workout From Fitness Idle	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120070901/static.png
c9cdbb48-b96c-11e4-a802-0aaa78deedf9	Pistol Strafe	Strafe Left With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128280901/static.png
c9cdbc0b-b96c-11e4-a802-0aaa78deedf9	Pistol Strafe	Strafe Right With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128290901/static.png
c9cad7c6-b96c-11e4-a802-0aaa78deedf9	Pistol To Idle	Trasition From Pistol To Fitness Idle	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120080901/static.png
c9cdb8f0-b96c-11e4-a802-0aaa78deedf9	Pistol Walk	Walking With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128250901/static.png
c9cdbd9a-b96c-11e4-a802-0aaa78deedf9	Pistol Walk Arc	Walk Arc Left With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128310901/static.png
c9cdbcce-b96c-11e4-a802-0aaa78deedf9	Pistol Walk Arc	Walk Arc Right With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128300901/static.png
c9cdba81-b96c-11e4-a802-0aaa78deedf9	Pistol Walk Backward	Walking Backward With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128270901/static.png
c9cdc3cc-b96c-11e4-a802-0aaa78deedf9	Pistol Walk Backward Arc	Walk Backward Arc Left With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128390901/static.png
c9cdc4a1-b96c-11e4-a802-0aaa78deedf9	Pistol Walk Backward Arc	Walk Backward Arc Right With An Aimed Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/128400901/static.png
c9c890a6-b96c-11e4-a802-0aaa78deedf9	Pistol Whip	Overhand Strike With Pistol	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/115990901/static.png
